year,name,country,cat,category2,Rationale,award,continent
2004,Samantha Jane Power,United States,Pioneers,9,"""Served as the United States Ambassador to the United Nations from 2013 to 2017.",Times 100People,North America
2004,Sandra Day O'Connor,United States,Pioneers,9,"""Associate Justice of the Supreme Court of the United States""",Times 100People,North America
2005,Ayaan Hirsi Ali,somalia,Leadership,8,"""activist, feminist, author, scholar and former politician.""",Times 100People,North America
2005,Meg Whitman,United States,Pioneers,9,"""American business executive, political activist, and philanthropist. Whitman served as President and Chief Executive Officer of Hewlett Packard Enterprise""",Times 100People,Africa
2005,Anne Lauvergeon,France,Pioneers,9,"†French†businesswoman, and was CEO of†Areva†2001ñ2011.",Times 100People,Europe
2005,Hilary Ann Swank,United States,Art,1,"""She has won two Academy Awards for Best Actress.""",Times 100People,North America
2005,Alicia Augello Cook,United States,Art,1,"""Known as Alicia Keys, is an American singer-songwriter, pianist and actress.""",Times 100People,North America
2005,Zhang Ziyi,China,Art,1,"""She is considered one of the Four Dan Actresses of China.""",Times 100People,Asia
2005,Miuccia Prada,Italy,Art,1,"""Italian billionaire fashion designer and businesswoman.""",Times 100People,Europe
2006,Ellen Johnson Sirleaf,Liberia,Leadership,8,"""Politician who served as the 24th President of Liberia from 2006 to 2018.""",Times 100People,Africa
2006,Hillary Clinton,United States,Leadership,8,"""American politician who was the First Lady of the United States from 1993 to 2001, and served as the junior U.S. Senator from New York from 2001 to 2009""",Times 100People,North America
2006,Orpah Gail Winfrey,United States,Leadership,8,"""American media proprietor, talk show host, actress, producer, and philanthropist.""",Times 100People,North America
2006,Patricia Russo,United States,Pioneers,9,"""Russo is most widely known for having served as Chief Executive Officer (CEO) of Lucent Technologies.""",Times 100People,North America
2006,Angelina Jolie,United States,Pioneers,9,"""Is noted for her humanitarian efforts, for which she has received a Jean Hersholt Humanitarian Award and an honorary damehood of the Order of St Michael and St George (DCMG).""",Times 100People,North America
2006,Mukhtaran Bibi,Pakistan,Pioneers,9,""" In June 2002, Mukht?r M?'? was the survivor of a gang rape as a form of honour revenge""",Times 100People,Asia
2006,Ellen Lee DeGeneres,United States,Art,1,""" American comedian, television host, actress, writer, producer, and LGBT activist.""",Times 100People,North America
2006,Arianna Huffington,Greece,Art,1,"""Was the co-founder and editor-in-chief of The Huffington Post, which is now owned by AOL.""",Times 100People,Europe
2006,Kiki Smith,Germany,Art,1,"""Artist whose work has addressed the themes of sex, birth and regeneration.""",Times 100People,Europe
2006,Zadie Smith,United Kingdom,Art,1,"""Is a contemporary British novelist, essayist, and short-story writer.""",Times 100People,Europe
2007,Tina Fey,,Art,1, ?Actress; comedian; writer; producer,,North America
2007,Anna Netrebko,Russia ,Art,1,Operatic oprano,,Europe
2007,Nora Roberts,United States,Art,1,Romance Writer,,North America
2007,Cate Blanchett,Ausralia,Art,1,"She has received international acclaim and many accolades for her work, including two Academy Awards, three Golden Globe Awards",,Australia
2007,America Ferrera,United States,Art,1,"Ferrera is the recipient of numerous accolades including an Emmy Award, a Golden Globe Award, and a Screen Actors Guild Award among others.",,North America
2007,Kate Moss,United States,Art,1,"Arriving at the end of the ""supermodel era"", Moss rose to fame in the mid 1990s as part of the heroin chic fashion trend. ",,North America
2007,Rosie O'Donnell,United States,Art,1,Her big break was on the talent show Star Search in 1984.,,North America
2007,Queen Elizabeth II,United Kingdom,Leadership,8,"Helen Mirren may have scooped an Oscar for her portrayal of the Queen, head of state of Britain and 15 Commonwealth countries",,Europe
2007,Sonia Gandhi,India,Leadership,8,is an Indian politician of Italian descent.,,Asia
2007,Hillary Clinton,United States,Leadership,8,"was the First Lady of the United States from 1993 to 2001, and served as the junior U.S. Senator from New York from 2001 to 2009 and 67th United States Secretary of State from 2009 to 2013.",,North America
2007,Angela Merkel,Germany,Leadership,8,Merkel's leadership style is the art of accomplishing great goals through the accumulation of nuance.,,Europe
2007,Clara Furse,Canada,Pioneers,9,In 2005 she was ranked 19th in Fortune magazine's Most Powerful Women in Business list,,North America
